epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2681.35,0.99011,0.80286,1.17875,0.6612,0.46843,0.51513,0.33208,1.11491,17.7631,1.29123,0.00166149,0.00166149,0.00166149
76,2921.87,0.99224,0.81199,1.17639,0.64753,0.47006,0.51316,0.33121,1.11351,17.855,1.29054,0.00154982,0.00154982,0.00154982
77,3163.65,0.98103,0.80021,1.17517,0.65622,0.46547,0.51357,0.33236,1.11258,17.7855,1.2905,0.00144161,0.00144161,0.00144161
78,3402.63,0.98163,0.79929,1.17572,0.65328,0.46593,0.5158,0.333,1.1118,17.8694,1.29042,0.00133695,0.00133695,0.00133695
79,3653.09,0.97609,0.78724,1.17537,0.65179,0.46823,0.5166,0.33405,1.10995,17.9596,1.28942,0.00123596,0.00123596,0.00123596
80,4066.22,0.97525,0.79139,1.17046,0.66286,0.46461,0.51739,0.33333,1.11001,17.9366,1.28984,0.00113873,0.00113873,0.00113873
81,4336,0.96945,0.77457,1.16345,0.65659,0.47278,0.51769,0.3332,1.10882,17.8203,1.28837,0.00104537,0.00104537,0.00104537
82,4574.95,0.95964,0.77547,1.16704,0.65875,0.46978,0.51722,0.33319,1.10791,17.724,1.28717,0.000955951,0.000955951,0.000955951
83,4814.66,0.95983,0.76675,1.16513,0.6615,0.46805,0.51588,0.33291,1.10736,17.7001,1.28654,0.000870577,0.000870577,0.000870577
84,5054.38,0.95466,0.76066,1.16156,0.66985,0.4602,0.51566,0.33415,1.1069,17.7346,1.28609,0.000789327,0.000789327,0.000789327
85,5295.03,0.95132,0.75358,1.15653,0.67171,0.46331,0.51683,0.33405,1.10731,17.7054,1.287,0.000712282,0.000712282,0.000712282
86,5535.35,0.94768,0.75642,1.15631,0.67265,0.46358,0.51819,0.3345,1.10808,17.7169,1.28814,0.000639518,0.000639518,0.000639518
87,5859.29,0.9462,0.75258,1.15692,0.67118,0.46466,0.51829,0.3343,1.10805,17.7031,1.28842,0.000571106,0.000571106,0.000571106
88,6098.09,0.94798,0.75411,1.16054,0.66176,0.46781,0.51698,0.33389,1.1084,17.6931,1.28893,0.000507115,0.000507115,0.000507115
89,6455.38,0.94154,0.74648,1.15121,0.66037,0.46963,0.51666,0.33389,1.10834,17.7157,1.28896,0.000447606,0.000447606,0.000447606
90,6693.83,0.94073,0.73917,1.15083,0.66251,0.468,0.51468,0.33355,1.10821,17.7068,1.28876,0.00039264,0.00039264,0.00039264
91,6938.55,0.88709,0.62171,1.13697,0.6691,0.46299,0.51427,0.33337,1.10818,17.6983,1.28891,0.00034227,0.00034227,0.00034227
92,7177.15,0.8797,0.60741,1.12794,0.66311,0.46416,0.5134,0.33323,1.10851,17.6494,1.28973,0.000296546,0.000296546,0.000296546
93,7415.92,0.87223,0.5934,1.12657,0.64829,0.47164,0.51229,0.33231,1.10887,17.6372,1.29035,0.000255513,0.000255513,0.000255513
94,7654.81,0.87726,0.59628,1.13133,0.65771,0.46464,0.51256,0.3327,1.10892,17.6239,1.29065,0.000219212,0.000219212,0.000219212
95,7894.92,0.86369,0.58168,1.11795,0.65645,0.46536,0.51313,0.3331,1.10909,17.6437,1.29104,0.000187678,0.000187678,0.000187678
96,8133.23,0.86832,0.58639,1.12498,0.65379,0.46867,0.5129,0.33277,1.10903,17.6558,1.29127,0.000160943,0.000160943,0.000160943
97,8372.32,0.86288,0.5807,1.12247,0.65406,0.4682,0.51199,0.33198,1.10922,17.6833,1.29169,0.000139032,0.000139032,0.000139032
98,8612.19,0.85949,0.57616,1.11509,0.56311,0.46816,0.51186,0.33205,1.10928,17.6947,1.29209,0.000121968,0.000121968,0.000121968
99,8851.57,0.85622,0.57712,1.11798,0.55969,0.46964,0.51125,0.33188,1.10917,17.7321,1.29205,0.000109768,0.000109768,0.000109768
100,9116.47,0.86055,0.57585,1.11872,0.55794,0.47161,0.51126,0.3319,1.1091,17.7502,1.29195,0.000102443,0.000102443,0.000102443
